tip	95\% HPDs	integral
EBOV|PL4864|KU296437|SLE|Kambia|2015-03-16	2015.01034213-2015.33547444	0.949468706267
EBOV|LIBR10180|KT725391|LBR|Montserrado|2014-10-11	2014.52798632-2014.72748247	0.949600006243
EBOV|Makona-UK3|KR025228|SLE|WesternArea|2015-03-12	2015.113683-2015.34802589	0.950577990202
EBOV|20144610|KR653270|SLE|Tonkolili|2014-11-12	2014.72810739-2014.96947082	0.949941561999
EBOV|G3886.1|KR105204|SLE|Kenema|2014-06-19	2014.43211017-2014.76253193	0.950467079
EBOV|PL5201|KU296612|SLE|PortLoko|2015-03-23	2015.00574676-2015.31226491	0.950135309808
EBOV|J0125|KP759674|SLE|WesternRural|2014-10-31	2014.78513527-2015.05226809	0.949946398878
EBOV|362_EMLH|KU296505|SLE|WesternUrban|2015-01-21	2014.84483488-2015.19126873,2015.23030353-2015.23518288	0.949473630004
EBOV|PL8429|KU296440|SLE|PortLoko|2015-06-24	2015.31389031-2015.82512179	0.949862516189
EBOV|MK0709|KU296373|SLE|Tonkolili|2014-12-31	2014.6895801-2015.07872082	0.950375971566
EBOV|DML24506|KT357827|SLE|Kono|2015-01-14	2014.90247605-2015.20203979	0.950290234648
EBOV|20143938|KR653264|SLE|Koinadugu|2014-11-07	2014.75976093-2014.98749693	0.949845878354
EBOV|LIBR10209|KT725371|LBR|Montserrado|2014-09-19	2014.58498818-2014.97994937	0.949759103579
EBOV|1339|KR534550|GIN|Coyah|2014-10-08	2014.62079036-2014.85897787	0.950144352019
EBOV|77706_EMLK|KU296572|SLE|WesternUrban|2015-01-10	2014.70806514-2015.07913831	0.950142125222
EBOV|EM_076193|KR817143|GIN|Nzerekore|2014-10-18	2014.60618848-2014.89263421	0.949988542385
EBOV|653|KR534514|GIN|Conakry|2014-08-15	2014.47067981-2014.61782985	0.958602673489
